,City,Colors Reported,Shape Reported,State,Time,Date,Location
27,Clovis,,DISK,NM,11:00,1944-04-02,"Clovis, NM"
28,Los Alamos,,DISK,NM,12:00,1944-06-01,"Los Alamos, NM"
29,Ft. Duschene,,DISK,UT,10:00,1944-06-30,"Ft. Duschene, UT"
30,South Kingstown,,SPHERE,RI,20:00,1944-07-01,"South Kingstown, RI"
31,North Tampa,,CYLINDER,FL,13:00,1944-07-15,"North Tampa, FL"
32,Ft. Lee,,CIGAR,VA,12:00,1945-01-01,"Ft. Lee, VA"
33,Salinas AFB,,DISK,CA,12:00,1945-06-01,"Salinas AFB, CA"
34,Jasper,,FIREBALL,FL,13:30,1945-06-01,"Jasper, FL"
35,Winston-Salem,,DISK,NC,07:00,1945-06-07,"Winston-Salem, NC"
36,Portsmouth,RED,FORMATION,VA,01:30,1945-07-10,"Portsmouth, VA"
37,Dallas,,SPHERE,TX,14:00,1945-07-15,"Dallas, TX"
38,Huntington Beach,,DISK,CA,12:00,1945-08-08,"Huntington Beach, CA"
39,San Antonio,,OVAL,NM,11:30,1945-08-16,"San Antonio, NM"
40,Roswell,,SPHERE,NM,02:00,1945-12-15,"Roswell, NM"
41,New York City,,DISK,NY,02:00,1946-01-08,"New York City, NY"
42,Merced,,SPHERE,CA,17:00,1946-02-01,"Merced, CA"
43,Alice,,DISK,TX,15:30,1946-03-15,"Alice, TX"
44,Blairsden,GREEN,SPHERE,CA,19:00,1946-06-30,"Blairsden, CA"
45,Index,,FIREBALL,WA,21:00,1946-06-30,"Index, WA"
46,South Portland,,OVAL,ME,13:30,1946-07-01,"South Portland, ME"
47,Oak Lawn,,FORMATION,IL,00:00,1946-09-12,"Oak Lawn, IL"
48,Dome,,FLASH,AZ,20:30,1946-09-30,"Dome, AZ"
49,Conroe,,OTHER,TX,20:00,1947-01-10,"Conroe, TX"
50,Syracuse,,DISK,NY,22:15,1947-02-20,"Syracuse, NY"
51,Miami,,OTHER,FL,14:00,1947-04-15,"Miami, FL"
52,San Deigo,,TRIANGLE,CA,23:00,1947-04-15,"San Deigo, CA"
53,Minden,,,LA,00:00,1947-06-01,"Minden, LA"
54,Cleveland,,LIGHT,OH,02:30,1947-06-01,"Cleveland, OH"
55,Espanola,,CIRCLE,NM,17:00,1947-06-01,"Espanola, NM"
56,Oroville,,,CA,18:00,1947-06-01,"Oroville, CA"
57,Oakmont,,,PA,20:18,1947-06-13,"Oakmont, PA"
58,Winona,,DISK,MN,10:00,1947-06-15,"Winona, MN"
59,Gackle,,OTHER,ND,14:00,1947-06-15,"Gackle, ND"
60,Madison,,DISK,WI,18:00,1947-06-15,"Madison, WI"
61,Hayward,,CIRCLE,CA,12:00,1947-06-20,"Hayward, CA"
62,Tacoma,,OTHER,WA,00:00,1947-06-30,"Tacoma, WA"
63,Baltimore,,OVAL,MD,18:00,1947-06-30,"Baltimore, MD"
64,Cashmere,,FORMATION,WA,20:00,1947-07-01,"Cashmere, WA"
65,Maywood,,DISK,CA,20:00,1947-07-01,"Maywood, CA"
66,Wexford,BLUE,,PA,20:00,1947-07-01,"Wexford, PA"
67,Sioux Falls,,,SD,00:00,1947-07-04,"Sioux Falls, SD"
68,Seattle,,OVAL,WA,17:30,1947-07-04,"Seattle, WA"
69,Dell Rapids,,,SD,00:00,1947-07-05,"Dell Rapids, SD"
70,Philadelphia,,DISK,PA,11:30,1947-07-05,"Philadelphia, PA"
71,Roswell,,,NM,00:00,1947-07-07,"Roswell, NM"
72,Johnston City,,DISK,IL,20:00,1947-07-09,"Johnston City, IL"
73,Roswell,,,NM,00:00,1947-07-11,"Roswell, NM"
74,Syracuse,,CIGAR,NY,10:30,1947-07-14,"Syracuse, NY"
75,Richmond,,CIRCLE,CA,11:00,1947-07-14,"Richmond, CA"
76,Las Vegas,,DISK,NV,10:00,1947-07-15,"Las Vegas, NV"
77,Keeneyville,,FORMATION,IL,12:00,1947-07-15,"Keeneyville, IL"
78,Clintwood,,CYLINDER,VA,15:00,1947-07-15,"Clintwood, VA"
79,Hazelton,,DISK,ID,15:00,1947-07-15,"Hazelton, ID"
80,Minneapolis,,DISK,MN,17:00,1947-07-15,"Minneapolis, MN"
81,Morehouse,,CYLINDER,MO,21:00,1947-07-15,"Morehouse, MO"
82,San Jose,BLUE,CHEVRON,CA,21:00,1947-07-15,"San Jose, CA"
83,Raton,,OVAL,NM,22:00,1947-07-20,"Raton, NM"
84,Modesto,BLUE,DISK,CA,22:00,1947-08-08,"Modesto, CA"
85,Green Valley,,,WI,20:00,1947-08-10,"Green Valley, WI"
86,Henrietta,,LIGHT,OK,01:00,1947-08-12,"Henrietta, OK"
87,Saranac Lake,,DISK,NY,22:00,1947-08-12,"Saranac Lake, NY"
88,Proctor,,CIGAR,OK,20:15,1947-08-15,"Proctor, OK"
89,Whitmore Lake,,CIGAR,MI,21:00,1947-12-24,"Whitmore Lake, MI"
90,Kelseyville,,DISK,CA,12:00,1948-04-30,"Kelseyville, CA"
91,Scipio,RED,SPHERE,IN,19:00,1948-05-10,"Scipio, IN"
92,Borger,,DISK,TX,16:00,1948-06-15,"Borger, TX"
93,Baltimore,,OVAL,MD,00:00,1948-06-30,"Baltimore, MD"
94,Jim Ridge,,,WV,08:00,1948-06-30,"Jim Ridge, WV"
95,Ojai,,LIGHT,CA,22:00,1948-07-15,"Ojai, CA"
96,New York City,,CIRCLE,NY,02:00,1948-08-01,"New York City, NY"
97,Conshohocken,,OVAL,PA,12:00,1948-08-15,"Conshohocken, PA"
98,Sharpsburg,,CIRCLE,MD,23:30,1948-12-12,"Sharpsburg, MD"
99,Seattle,,DISK,WA,15:00,1949-04-10,"Seattle, WA"
100,Oak Ridge,,OTHER,WV,14:00,1949-05-01,"Oak Ridge, WV"
101,Grays,,LIGHT,SC,06:30,1949-05-15,"Grays, SC"
102,Los Angeles,,CIRCLE,CT,10:00,1949-06-04,"Los Angeles, CT"
103,Anchorage,,DISK,AK,21:00,1949-06-10,"Anchorage, AK"
104,Knoxville,,OTHER,TN,15:00,1949-06-30,"Knoxville, TN"
105,Salem,,CIGAR,OR,21:00,1949-06-30,"Salem, OR"
106,Fairbanks,,DISK,AK,11:00,1949-07-01,"Fairbanks, AK"
107,Marion,,FORMATION,AL,16:00,1949-07-01,"Marion, AL"
108,Booneville,,,MS,20:30,1949-07-15,"Booneville, MS"
109,Excelsior,,CIRCLE,MN,00:00,1949-08-15,"Excelsior, MN"
110,Mill Valley,,LIGHT,CA,21:00,1949-08-15,"Mill Valley, CA"
111,Tarrant City,ORANGE,CIRCLE,AL,22:00,1949-08-15,"Tarrant City, AL"
112,Steilacoom,,DISK,WA,19:00,1949-08-25,"Steilacoom, WA"
113,Mt Gilead,,CIRCLE,OH,21:00,1949-09-15,"Mt Gilead, OH"
114,Post,,DISK,TX,21:00,1949-09-15,"Post, TX"
115,San Marcos,,CYLINDER,TX,20:30,1949-10-10,"San Marcos, TX"
116,Lackland AFB,,LIGHT,TX,21:00,1949-10-10,"Lackland AFB, TX"
117,Baltimore,,CIGAR,MD,20:00,1949-10-15,"Baltimore, MD"
118,Mount Hope,,,WV,22:00,1950-01-01,"Mount Hope, WV"
119,New York City,,OVAL,NY,00:00,1950-01-02,"New York City, NY"
120,Roswell,RED,,NM,00:00,1950-03-22,"Roswell, NM"
121,Arkansas,,DISK,AR,08:00,1950-04-15,"Arkansas, AR"
122,Waynesborough,,DISK,VA,14:00,1950-04-15,"Waynesborough, VA"
123,Fort Lewis,,TRIANGLE,WA,14:00,1950-05-12,"Fort Lewis, WA"
124,Crowder,,,MS,00:00,1950-06-01,"Crowder, MS"
125,Philadelphia,,DISK,MS,16:00,1950-06-01,"Philadelphia, MS"
126,Pittsburgh,,OVAL,PA,20:00,1950-06-01,"Pittsburgh, PA"
127,Kensington,,OVAL,MD,20:00,1950-06-07,"Kensington, MD"
128,Kansas City,,DISK,MO,10:00,1950-06-08,"Kansas City, MO"
129,Napa,GREEN,DISK,CA,00:00,1950-06-10,"Napa, CA"
130,Grosse Pointe Park,,OVAL,MI,13:00,1950-06-15,"Grosse Pointe Park, MI"
131,Bonifay,,DISK,FL,20:00,1950-06-15,"Bonifay, FL"
132,Fort Worth,,DISK,TX,20:00,1950-06-15,"Fort Worth, TX"
133,Booneville,,DISK,MS,10:00,1950-06-20,"Booneville, MS"
134,Galveston,,SPHERE,TX,17:00,1950-06-20,"Galveston, TX"
135,Lac Du Flambeau,,DISK,WI,16:00,1950-06-30,"Lac Du Flambeau, WI"
136,Florence,,DISK,CO,17:30,1950-06-30,"Florence, CO"
137,Florence,,LIGHT,CO,17:30,1950-06-30,"Florence, CO"
138,Coeur d'Alene,ORANGE,CIGAR,ID,13:00,1950-07-02,"Coeur d'Alene, ID"
139,Bay St. Louis,,LIGHT,MS,21:00,1950-07-02,"Bay St. Louis, MS"
140,East Palestine,,LIGHT,OH,20:30,1950-07-10,"East Palestine, OH"
141,Newark,,SPHERE,NJ,21:30,1950-07-15,"Newark, NJ"
142,Los Padres National Forest,,FORMATION,CA,23:00,1950-07-15,"Los Padres National Forest, CA"
143,Smithport,,DISK,PA,21:30,1950-07-20,"Smithport, PA"
144,Louisville,,OTHER,KY,04:00,1950-08-01,"Louisville, KY"
145,Stanfield,,DISK,OR,14:00,1950-08-15,"Stanfield, OR"
146,Pikeville,,DISK,KY,11:00,1950-10-01,"Pikeville, KY"
147,Sandy Hook,,TRIANGLE,NJ,15:00,1950-10-15,"Sandy Hook, NJ"
148,Half Moon Bay,,OTHER,CA,22:00,1950-12-12,"Half Moon Bay, CA"
149,Palm Springs,,CIGAR,CA,04:30,1951-01-20,"Palm Springs, CA"
150,Thompsonville,,DISK,CT,22:00,1951-02-03,"Thompsonville, CT"
151,Los Angeles,,DISK,CA,11:00,1951-02-15,"Los Angeles, CA"
152,Irving,BLUE,DISK,KS,00:30,1951-04-15,"Irving, KS"
153,Fort Sill,,OVAL,OK,03:00,1951-05-15,"Fort Sill, OK"
154,Oklahoma,,CIGAR,OK,19:00,1951-06-01,"Oklahoma, OK"
155,Jasper,,OVAL,NC,13:00,1951-06-03,"Jasper, NC"
156,Mount Pinos,,DISK,CA,02:00,1951-06-06,"Mount Pinos, CA"
157,Greenville,GREEN,DISK,MS,20:30,1951-06-15,"Greenville, MS"
158,Jackson Heights,,DISK,NY,07:00,1951-06-30,"Jackson Heights, NY"
159,Birmingham,,,AL,19:00,1951-06-30,"Birmingham, AL"
160,Otis Orchards,,DISK,WA,03:00,1951-07-01,"Otis Orchards, WA"
161,Atlanta,,,GA,14:00,1951-07-01,"Atlanta, GA"
162,Calaveras County,,DISK,CA,03:00,1951-07-03,"Calaveras County, CA"
163,Green River,GREEN,SPHERE,WY,12:00,1951-07-03,"Green River, WY"
164,Provo,BLUE,DISK,UT,23:30,1951-07-10,"Provo, UT"
165,Spokane Valley,,SPHERE,WA,14:00,1951-07-15,"Spokane Valley, WA"
166,Sunland,,CIRCLE,CA,01:00,1951-08-10,"Sunland, CA"
167,Altoona,,DISK,PA,13:00,1951-08-15,"Altoona, PA"
168,Jacksonville,,DISK,FL,20:00,1951-10-15,"Jacksonville, FL"
169,Holloman AFB,,CIRCLE,NM,06:00,1951-11-15,"Holloman AFB, NM"
170,Salt Lake City,,,UT,00:00,1952-01-01,"Salt Lake City, UT"
171,Binghamton,,DISK,NY,21:00,1952-02-10,"Binghamton, NY"
172,Nellis AFB,,DISK,NV,18:00,1952-02-17,"Nellis AFB, NV"
173,Chicago,,DISK,IL,13:00,1952-04-15,"Chicago, IL"
174,Greenville,ORANGE,TRIANGLE,TX,16:00,1952-04-15,"Greenville, TX"
175,Pittsburgh,,CYLINDER,PA,10:15,1952-05-15,"Pittsburgh, PA"
176,Allyn,,DISK,WA,20:00,1952-05-15,"Allyn, WA"
177,Dousman,,,WI,11:00,1952-06-01,"Dousman, WI"
178,Norfolk,RED,FIREBALL,VA,22:00,1952-06-01,"Norfolk, VA"
179,Evergreen,,DISK,CO,13:00,1952-06-06,"Evergreen, CO"
180,Chicago,,CIRCLE,IL,12:00,1952-06-10,"Chicago, IL"
181,Fortville,,DISK,IN,07:30,1952-06-13,"Fortville, IN"
182,Luke Airforce Base,,EGG,AZ,00:00,1952-06-15,"Luke Airforce Base, AZ"
183,Piedra Blanka,,CIGAR,CA,00:00,1952-06-15,"Piedra Blanka, CA"
184,Jacksonville,,TRIANGLE,FL,21:00,1952-06-15,"Jacksonville, FL"
185,Maywood,,CIRCLE,CA,23:00,1952-06-15,"Maywood, CA"
186,Lansing,,OTHER,MI,22:00,1952-06-21,"Lansing, MI"
187,Chester,,OVAL,PA,17:45,1952-06-22,"Chester, PA"
188,Cheyenne,,DISK,WY,00:00,1952-06-30,"Cheyenne, WY"
189,Pecos,,DISK,TX,03:00,1952-06-30,"Pecos, TX"
190,Barksdale AFB,,,LA,06:00,1952-06-30,"Barksdale AFB, LA"
191,Miami,,LIGHT,FL,09:00,1952-06-30,"Miami, FL"
192,New York City,,DISK,NY,13:00,1952-06-30,"New York City, NY"
193,Auburn,,OVAL,WA,18:30,1952-06-30,"Auburn, WA"
194,Miami,,DISK,FL,21:00,1952-06-30,"Miami, FL"
195,Miami,,DISK,FL,21:00,1952-06-30,"Miami, FL"
196,Miami,,LIGHT,FL,21:00,1952-06-30,"Miami, FL"
197,Sebeka,,OTHER,MN,15:00,1952-07-01,"Sebeka, MN"
198,Detroit,,SPHERE,MI,22:00,1952-07-01,"Detroit, MI"
199,Tacoma,,SPHERE,WA,16:00,1952-07-05,"Tacoma, WA"
200,Evergreen,,CIRCLE,CO,10:00,1952-07-07,"Evergreen, CO"
201,Arlington,,DISK,TX,13:00,1952-07-07,"Arlington, TX"
202,Arlington,GREEN,OVAL,VA,21:00,1952-07-13,"Arlington, VA"
203,Wilmington,,DISK,CA,12:00,1952-07-15,"Wilmington, CA"
204,,,DISK,CA,12:30,1952-07-15,
205,Litchfield,,OTHER,PA,13:00,1952-07-15,"Litchfield, PA"
206,South Gate,,CIRCLE,CA,14:00,1952-07-15,"South Gate, CA"
207,North Bend,,OTHER,WA,18:30,1952-07-15,"North Bend, WA"
208,New York City,,OTHER,NY,19:00,1952-07-15,"New York City, NY"
209,Okolona,,OVAL,MS,09:30,1952-07-22,"Okolona, MS"
210,Tacoma,,SPHERE,WA,16:00,1952-07-25,"Tacoma, WA"
211,Manville,,SPHERE,RI,15:00,1952-07-30,"Manville, RI"
212,Tampa,,OVAL,FL,21:30,1952-08-01,"Tampa, FL"
213,Smithson's Valley,,CIGAR,TX,17:00,1952-08-15,"Smithson's Valley, TX"
214,Prairie Grove,,DISK,AR,17:30,1952-08-15,"Prairie Grove, AR"
215,Hamilton,,LIGHT,OH,22:15,1952-08-15,"Hamilton, OH"
216,Philadelphia,,CIRCLE,PA,20:00,1952-09-09,"Philadelphia, PA"
217,Norridgewock,,DISK,ME,14:00,1952-09-15,"Norridgewock, ME"
218,Kansas City,,DISK,MO,12:00,1952-10-01,"Kansas City, MO"
219,Richland,,CIRCLE,WA,21:00,1952-10-15,"Richland, WA"
220,Chicago,,OTHER,IL,19:00,1952-12-06,"Chicago, IL"
221,Camp McCoy,,CYLINDER,WI,12:00,1952-12-30,"Camp McCoy, WI"
222,Nebraska,,,NE,00:00,1953-01-01,"Nebraska, NE"
223,Oklahoma,,CIGAR,TX,14:00,1953-01-01,"Oklahoma, TX"
224,Palm Springs,,,CA,00:00,1953-03-15,"Palm Springs, CA"
225,Haverhill,,CHEVRON,MA,15:00,1953-04-01,"Haverhill, MA"
226,Cambridge,RED,SPHERE,MA,18:00,1953-04-01,"Cambridge, MA"
227,Chariton,,OTHER,IA,13:00,1953-04-10,"Chariton, IA"
228,Los Angeles,,FIREBALL,CA,12:00,1953-04-15,"Los Angeles, CA"
229,Midwest City,YELLOW,FIREBALL,OK,16:00,1953-04-15,"Midwest City, OK"
230,Jamison,,CIGAR,PA,16:00,1953-04-30,"Jamison, PA"
231,Kingman,,,AZ,08:00,1953-05-20,"Kingman, AZ"
232,Fresno,,,CA,21:00,1953-06-01,"Fresno, CA"
233,Roswell,,,NM,00:00,1953-06-15,"Roswell, NM"
234,Wenatchee,,DISK,WA,12:00,1953-06-15,"Wenatchee, WA"
235,Fort Worth,,SPHERE,TX,13:00,1953-06-15,"Fort Worth, TX"
236,North Bend,,CIRCLE,WA,18:00,1953-06-15,"North Bend, WA"
237,Galveston,,CIGAR,TX,07:30,1953-06-17,"Galveston, TX"
238,Cleveland,RED,FIREBALL,OH,00:00,1953-06-30,"Cleveland, OH"
239,Kelso,,OVAL,WA,15:00,1953-06-30,"Kelso, WA"
240,Colorado Springs,,DISK,CO,05:30,1953-07-01,"Colorado Springs, CO"
241,,BLUE,DISK,MT,14:00,1953-07-04,
242,Ogallala,,OTHER,NE,21:00,1953-07-04,"Ogallala, NE"
243,Nashville,,CYLINDER,TN,13:00,1953-07-15,"Nashville, TN"
244,Dublin,,CONE,IN,22:00,1953-07-17,"Dublin, IN"
245,Berkeley,,FIREBALL,MO,12:00,1953-08-01,"Berkeley, MO"
246,"San Bernadino Mtns, Church Camp",,DISK,CA,14:00,1953-08-01,"San Bernadino Mtns, Church Camp, CA"
247,Vallejo,,LIGHT,CA,21:00,1953-08-07,"Vallejo, CA"
248,Louisville,,CIRCLE,KY,11:00,1953-08-15,"Louisville, KY"
249,Artesia,ORANGE,OTHER,NM,19:00,1953-08-15,"Artesia, NM"
250,Bowleys Quarters,,SPHERE,MD,21:00,1953-08-15,"Bowleys Quarters, MD"
251,Homer,,,PA,14:00,1953-09-15,"Homer, PA"
252,Mauriceville,,DISK,TX,14:00,1953-10-15,"Mauriceville, TX"
253,New Orleans,,OVAL,LA,19:00,1953-10-31,"New Orleans, LA"
254,Cicero,,OTHER,IL,20:00,1953-11-13,"Cicero, IL"
255,Keansburg,,CIRCLE,NJ,03:00,1953-11-15,"Keansburg, NJ"
256,Pendleton,GREEN,DISK,IN,22:30,1953-11-21,"Pendleton, IN"
257,Lackland Air Force Base,,DISK,TX,04:25,1953-11-25,"Lackland Air Force Base, TX"
258,Brunswick,,,ME,00:00,1954-01-01,"Brunswick, ME"
259,Lakeland,,DISK,FL,01:00,1954-01-01,"Lakeland, FL"
260,Souix City,,CIRCLE,IA,22:00,1954-01-01,"Souix City, IA"
261,Santa Monica,,LIGHT,CT,20:00,1954-01-15,"Santa Monica, CT"
262,Fairbanks,,,AK,02:00,1954-02-01,"Fairbanks, AK"
263,Burney,,DISK,CA,19:30,1954-02-15,"Burney, CA"
264,Stanford Campus,,DISK,CA,22:00,1954-04-01,"Stanford Campus, CA"
265,Corvallis,,DIAMOND,OR,12:00,1954-05-15,"Corvallis, OR"
266,Quincy,,DISK,IL,04:30,1954-05-26,"Quincy, IL"
267,Houston,,DISK,TX,00:00,1954-06-01,"Houston, TX"
268,Ovid,,DISK,NY,06:00,1954-06-01,"Ovid, NY"
269,Springfield,,CYLINDER,IL,08:00,1954-06-01,"Springfield, IL"
270,El Cerrito,,LIGHT,CA,19:00,1954-06-01,"El Cerrito, CA"
271,Toledo,,DISK,OH,19:00,1954-06-01,"Toledo, OH"
272,Norfolk,,DISK,VA,20:00,1954-06-01,"Norfolk, VA"
273,Philadelphia,,DISK,PA,20:00,1954-06-01,"Philadelphia, PA"
274,Fish Canyon,,LIGHT,CA,23:00,1954-06-01,"Fish Canyon, CA"
275,Atlanta,,DISK,GA,10:00,1954-06-06,"Atlanta, GA"
276,Estes Park,,CIGAR,CO,20:00,1954-06-10,"Estes Park, CO"
277,Glenburn,,,ME,02:00,1954-06-11,"Glenburn, ME"
278,Palm Beach,,LIGHT,CA,11:00,1954-06-15,"Palm Beach, CA"
279,Claymont,,DISK,DE,11:45,1954-06-15,"Claymont, DE"
280,Ellington AFB,,DISK,TX,16:30,1954-06-15,"Ellington AFB, TX"
281,Lorton,,OTHER,VA,02:00,1954-06-23,"Lorton, VA"
282,Langley Air Force Base,,CIRCLE,VA,23:00,1954-06-23,"Langley Air Force Base, VA"
283,Thrifty,,CIRCLE,TX,03:30,1954-06-25,"Thrifty, TX"
284,Marion,,CIRCLE,VA,00:00,1954-06-30,"Marion, VA"
285,Methuen,,,MA,00:00,1954-06-30,"Methuen, MA"
286,Hawthorne,,LIGHT,CA,12:00,1954-06-30,"Hawthorne, CA"
287,Pasadena,,CIRCLE,CA,15:00,1954-06-30,"Pasadena, CA"
288,St. Louis Airport,RED,OVAL,MO,21:00,1954-07-01,"St. Louis Airport, MO"
289,Los Angeles,RED,CIRCLE,CA,22:00,1954-07-01,"Los Angeles, CA"
290,Walnut Creek,,,CA,20:00,1954-07-07,"Walnut Creek, CA"
291,West Columbia,,FORMATION,SC,22:00,1954-07-07,"West Columbia, SC"
292,Morroco,,VARIOUS,IN,17:30,1954-07-12,"Morroco, IN"
293,Philadelphia,,DISK,PA,11:00,1954-07-15,"Philadelphia, PA"
294,Greenfield,,CIGAR,IN,14:00,1954-07-15,"Greenfield, IN"
295,Kansas City,,CHEVRON,KS,21:00,1954-07-15,"Kansas City, KS"
296,Oakdale,,DISK,NY,21:00,1954-07-15,"Oakdale, NY"
297,Bridge Hampton,,LIGHT,NY,22:00,1954-07-15,"Bridge Hampton, NY"
298,Farmingdale,,OVAL,NY,12:00,1954-08-01,"Farmingdale, NY"
299,Dyer,,TRIANGLE,IN,17:00,1954-08-01,"Dyer, IN"
300,Canton,,DISK,PA,21:00,1954-08-01,"Canton, PA"
301,North Hollywood,,LIGHT,CA,22:00,1954-08-01,"North Hollywood, CA"
302,Puyallup,,OVAL,WA,21:00,1954-08-15,"Puyallup, WA"
303,Geneva,,DISK,NY,13:00,1954-09-01,"Geneva, NY"
304,Beaumont,RED,DISK,TX,12:30,1954-09-09,"Beaumont, TX"
305,Palmer Township,,OTHER,PA,09:30,1954-09-15,"Palmer Township, PA"
306,Flatwoods,,CIRCLE,WV,19:00,1954-10-01,"Flatwoods, WV"
307,Blanco,,OTHER,TX,16:30,1954-10-15,"Blanco, TX"
308,Manistee,,CIRCLE,MI,21:30,1954-10-15,"Manistee, MI"
309,Denver,,FIREBALL,CO,18:30,1954-11-01,"Denver, CO"
310,Thelma,,DISK,TX,01:00,1954-11-14,"Thelma, TX"
311,Red Bank,ORANGE,CIRCLE,NJ,23:10,1954-12-15,"Red Bank, NJ"
312,Yucaipa,,OVAL,CA,16:50,1954-12-16,"Yucaipa, CA"
313,New York City,,LIGHT,NY,19:00,1955-02-15,"New York City, NY"
314,Holbrook,YELLOW,EGG,MA,15:00,1955-05-01,"Holbrook, MA"
315,Warrington,,FIREBALL,FL,03:00,1955-05-15,"Warrington, FL"
316,Homaland,,CIRCLE,CA,00:00,1955-06-01,"Homaland, CA"
317,Bagley,,CIRCLE,MN,02:00,1955-06-01,"Bagley, MN"
318,Cincinnati,,DISK,OH,15:29,1955-06-01,"Cincinnati, OH"
319,Martinez,,CIRCLE,CA,17:00,1955-06-01,"Martinez, CA"
320,Clinton,,EGG,TN,20:30,1955-06-01,"Clinton, TN"
321,Pensacola,,LIGHT,FL,01:00,1955-06-06,"Pensacola, FL"
322,South St. Paul,,DISK,MN,00:00,1955-06-15,"South St. Paul, MN"
323,Terre Haute,ORANGE,CIRCLE,IN,00:00,1955-06-15,"Terre Haute, IN"
324,Missouri,,LIGHT,MO,04:30,1955-06-15,"Missouri, MO"
325,Youngstown,,,PA,08:00,1955-06-15,"Youngstown, PA"
326,Daytona Beach,,FIREBALL,FL,21:00,1955-06-15,"Daytona Beach, FL"
327,Rantoul,,LIGHT,IL,07:00,1955-06-17,"Rantoul, IL"
328,Beach Haven Park,,DISK,NJ,07:00,1955-06-23,"Beach Haven Park, NJ"
329,Quartz Hill,,DISK,CA,00:00,1955-06-30,"Quartz Hill, CA"
330,Lubbock,,CIGAR,TX,13:00,1955-06-30,"Lubbock, TX"
331,Dumas,,LIGHT,TX,21:00,1955-06-30,"Dumas, TX"
332,Morehead City,,DISK,NC,21:00,1955-06-30,"Morehead City, NC"
333,Carnation,,DISK,WA,14:00,1955-07-01,"Carnation, WA"
334,Dierks,,CIGAR,AR,22:00,1955-07-01,"Dierks, AR"
335,Woodland Park,,OVAL,CO,14:00,1955-07-15,"Woodland Park, CO"
336,Ringold,,LIGHT,LA,22:00,1955-07-15,"Ringold, LA"
337,Newtown Square,,CIRCLE,PA,19:00,1955-08-06,"Newtown Square, PA"
338,Independence,,FIREBALL,MO,01:00,1955-08-08,"Independence, MO"
339,Madisonville,,LIGHT,KY,01:00,1955-08-14,"Madisonville, KY"
340,Eagle Pass,,CIGAR,TX,00:01,1955-08-15,"Eagle Pass, TX"
341,Covina,,DISK,CA,21:00,1955-08-17,"Covina, CA"
342,Bullhead,,DISK,AZ,23:00,1955-09-10,"Bullhead, AZ"
343,Mono Lake,,CIRCLE,CA,22:00,1955-10-01,"Mono Lake, CA"
344,West Covina,GREEN,,CA,18:00,1955-10-09,"West Covina, CA"
345,Rhinebeck,,LIGHT,NY,20:00,1955-10-15,"Rhinebeck, NY"
346,Weirton,,DISK,WV,05:30,1956-01-01,"Weirton, WV"
347,Petaluma,,OVAL,CA,13:00,1956-03-01,"Petaluma, CA"
348,Bowie,,DISK,MD,20:00,1956-03-20,"Bowie, MD"
349,Hampton,,SPHERE,MN,17:30,1956-03-22,"Hampton, MN"
350,Canton,,CIGAR,OH,12:00,1956-05-01,"Canton, OH"
351,Pine castle AFB,,LIGHT,FL,20:00,1956-05-15,"Pine castle AFB, FL"
352,Ada,,CIRCLE,OK,10:22,1956-05-17,"Ada, OK"
353,Belton,,OTHER,MO,19:00,1956-06-01,"Belton, MO"
354,Memphis,ORANGE,CYLINDER,TN,20:00,1956-06-01,"Memphis, TN"
